q_id,QuestionText,exclude
1,I look forward to going to work.,
1,I look forward to going to work (Often/Always).,
2,I am enthusiastic about my job.,
2,I am enthusiastic about my job (Often/Always).,
3,Time passes quickly when I am working.,
3,Time passes quickly when I am working (Often/Always).,
4,I always know what my work responsibilities are.,
4,I always know what my work responsibilities are (Agree/Strongly agree).,
5,I am trusted to do my job.,
5,I am trusted to do my job (Agree/Strongly agree).,
6,There are frequent opportunities for me to show initiative in my role.,
6,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).,
7,I am able to make suggestions to improve the work of my team / department.,
7,I am able to make suggestions to improve the work of my team / department (Agree/Strongly agree).,
8,I am involved in deciding on changes introduced that affect my work area / team / department.,
8,I am involved in deciding on changes introduced that affect my work area / team / department (Agree/Strongly agree).,
9,I am able to make improvements happen in my area of work.,
9,I am able to make improvements happen in my area of work (Agree/Strongly agree).,
10,I am able to meet all the conflicting demands on my time at work.,
10,I am able to meet all the conflicting demands on my time at work (Agree/Strongly agree).,
11,"I have adequate materials, supplies and equipment to do my work.",
11,"I have adequate materials, supplies and equipment to do my work (Agree/Strongly agree).",
12,There are enough staff at this organisation for me to do my job properly.,
12,There are enough staff at this organisation for me to do my job properly (Agree/Strongly agree).,
13,The recognition I get for good work.,
13,The recognition I get for good work (Satisfied/Very satisfied).,
14,The extent to which my organisation values my work.,
14,The extent to which my organisation values my work (Satisfied/Very satisfied).,
15,My level of pay.,
15,My level of pay (Satisfied/Very satisfied).,
16,The opportunities for flexible working patterns.,
16,The opportunities for flexible working patterns (Satisfied/Very satisfied).,
17,I have unrealistic time pressures.,
17,I have unrealistic time pressures (Never/Rarely).,
18,I have a choice in deciding how to do my work.,
18,I have a choice in deciding how to do my work (Often/Always).,
19,Relationships at work are strained.,
19,Relationships at work are strained (Never/Rarely).,
20,I feel that my role makes a difference to patients / service users.,
20,I feel that my role makes a difference to patients / service users (Agree/Strongly agree).,
21,My organisation is committed to helping me balance my work and home life.,
21,My organisation is committed to helping me balance my work and home life (Agree/Strongly agree).,
23,I achieve a good balance between my work life and my home life.,
23,I achieve a good balance between my work life and my home life (Agree/Strongly agree).,
24,I can approach my immediate manager to talk openly about flexible working.,
24,I can approach my immediate manager to talk openly about flexible working (Agree/Strongly agree).,
25,The team I work in has a set of shared objectives.,
25,The team I work in has a set of shared objectives (Agree/Strongly agree).,
26,The team I work in often meets to discuss the team's effectiveness.,
26,The team I work in often meets to discuss the team's effectiveness (Agree/Strongly agree).,
27,I receive the respect I deserve from my colleagues at work.,
27,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree).,
28,Team members understand each other's roles.,
28,Team members understand each other's roles (Agree/Strongly agree).,
29,I enjoy working with the colleagues in my team.,
29,I enjoy working with the colleagues in my team (Agree/Strongly agree).,
30,My team has enough freedom in how to do its work.,
30,My team has enough freedom in how to do its work (Agree/Strongly agree).,
31,In my team disagreements are dealt with constructively.,
31,In my team disagreements are dealt with constructively (Agree/Strongly agree).,
32,I feel valued by my team.,
32,I feel valued by my team (Agree/Strongly agree).,
33,I feel a strong personal attachment to my team.,
33,I feel a strong personal attachment to my team (Agree/Strongly agree).,
34,Teams within this organisation work well together to achieve their objectives.,
34,Teams within this organisation work well together to achieve their objectives (Agree/Strongly agree).,
35,The people I work with are understanding and kind to one another.,
35,The people I work with are understanding and kind to one another (Agree/Strongly agree).,
37,The people I work with are polite and treat each other with respect.,
37,The people I work with are polite and treat each other with respect (Agree/Strongly agree).,
38,The people I work with show appreciation to one another.,
38,The people I work with show appreciation to one another (Agree/Strongly agree).,
39,My immediate manager encourages me at work.,
39,My immediate manager encourages me at work (Agree/Strongly agree).,
40,My immediate manager gives me clear feedback on my work.,
40,My immediate manager gives me clear feedback on my work (Agree/Strongly agree).,
41,My immediate manager asks for my opinion before making decisions that affect my work.,
41,My immediate manager asks for my opinion before making decisions that affect my work (Agree/Strongly agree).,
42,My immediate manager takes a positive interest in my health and well-being.,
42,My immediate manager takes a positive interest in my health and well-being (Agree/Strongly agree).,
43,My immediate manager values my work.,
43,My immediate manager values my work (Agree/Strongly agree).,
44,My immediate manager works together with me to come to an understanding of problems.,
44,My immediate manager works together with me to come to an understanding of problems (Agree/Strongly agree).,
45,My immediate manager is interested in listening to me when I describe challenges I face.,
45,My immediate manager is interested in listening to me when I describe challenges I face (Agree/Strongly agree).,
46,My immediate manager cares about my concerns.,
46,My immediate manager cares about my concerns (Agree/Strongly agree).,
47,My immediate manager takes effective action to help me with any problems I face.,
47,My immediate manager takes effective action to help me with any problems I face (Agree/Strongly agree).,
48,"On average, how many additional PAID hours do you work per week for this organisation, over and above your contracted hours?",
48,"On average, how many additional PAID hours do you work per week for this organisation, over and above your contracted hours (0 hours).",
49,"On average, how many additional UNPAID hours do you work per week for this organisation, over and above your contracted hours?",
49,"On average, how many additional UNPAID hours do you work per week for this organisation, over and above your contracted hours (0 hours).",
51,My organisation takes positive action on health and well-being.,
51,My organisation takes positive action on health and well-being (Agree/Strongly agree).,
52,In the last 12 months have you experienced musculoskeletal problems (MSK) as a result of work activities?,
52,In the last 12 months have you experienced musculoskeletal problems (MSK) as a result of work activities (No)?,
53,During the last 12 months have you felt unwell as a result of work related stress?,
53,During the last 12 months have you felt unwell as a result of work related stress (No).,
54,In the last three months have you ever come to work despite not feeling well enough to perform your duties?,
54,In the last three months have you ever come to work despite not feeling well enough to perform your duties (No).,
55,Have you felt pressure from your manager to come to work?,
55,Have you felt pressure from your manager to come to work (No).,
56,"How often, if at all, do you find your work emotionally exhausting?",
56,"How often, if at all, do you find your work emotionally exhausting (Never/Rarely).",
57,"How often, if at all, do you feel burnt out because of your work?",
57,"How often, if at all, do you feel burnt out because of your work (Never/Rarely).",
58,"How often, if at all, does your work frustrate you?",
58,"How often, if at all, does your work frustrate you (Never/Rarely).",
59,"How often, if at all, are you exhausted at the thought of another day/shift at work?",
59,"How often, if at all, are you exhausted at the thought of another day/shift at work (Never/Rarely).",
60,"How often, if at all, do you feel worn out at the end of your working day/shift?",
60,"How often, if at all, do you feel worn out at the end of your working day/shift (Never/Rarely).",
61,"How often, if at all, do you feel that every working hour is tiring for you?",
61,"How often, if at all, do you feel that every working hour is tiring for you (Never/Rarely).",
62,"How often, if at all, do you not have enough energy for family and friends during leisure time?",
62,"How often, if at all, do you not have enough energy for family and friends during leisure time (Never/Rarely).",
63,"In the last 12 months how many times have you personally experienced physical violence at work from patients / service users, their relatives or other members of the public?",
63,"In the last 12 months how many times have you personally experienced physical violence at work from patients / service users, their relatives or other members of the public (Never).",
64,In the last 12 months how many times have you personally experienced physical violence at work from managers?,
64,In the last 12 months how many times have you personally experienced physical violence at work from managers (Never).,
65,In the last 12 months how many times have you personally experienced physical violence at work from other colleagues?,
65,In the last 12 months how many times have you personally experienced physical violence at work from other colleagues (Never).,
66,"The last time you experienced physical violence at work, did you or a colleague report it?",
66,"The last time you experienced physical violence at work, did you or a colleague report it (Yes).",
67,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from patients / service users, their relatives or other members of the public?",
67,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from patients / service users, their relatives or other members of the public (Never).",
68,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from managers?",
68,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from managers (Never).",
69,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from other colleagues?",
69,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from other colleagues (Never).",
70,"The last time you experienced harassment, bullying or abuse at work, did you or a colleague report it?",
70,"The last time you experienced harassment, bullying or abuse at work, did you or a colleague report it (Yes).",
71,"Does your organisation act fairly with regard to career progression / promotion, regardless of e.g. age, disability, ethnic background, gender reassignment, religion, sex or sexual orientation?",
71,"Does your organisation act fairly with regard to career progression / promotion, regardless of e.g. age, disability, ethnic background, gender reassignment, religion, sex or sexual orientation (Yes).",
72,"In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public?",
72,"In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public (No).",
73,In the last 12 months have you personally experienced discrimination at work from a manager / team leader or other colleagues?,
73,In the last 12 months have you personally experienced discrimination at work from a manager / team leader or other colleagues (No).,
74,On what grounds have you experienced discrimination? Age,
74,On what grounds have you experienced discrimination? Age (No).,
75,On what grounds have you experienced discrimination? Disability,
75,On what grounds have you experienced discrimination? Disability (No).,
76,On what grounds have you experienced discrimination? Gender reassignment,
76,On what grounds have you experienced discrimination? Gender reassignment (No).,
77,On what grounds have you experienced discrimination? Marriage and civil partnership,
77,On what grounds have you experienced discrimination? Marriage and civil partnership (No).,
78,On what grounds have you experienced discrimination? Pregnancy and maternity,
78,On what grounds have you experienced discrimination? Pregnancy and maternity (No).,
79,On what grounds have you experienced discrimination? Race,
79,On what grounds have you experienced discrimination? Race (No).,
80,On what grounds have you experienced discrimination? Religion or belief,
80,On what grounds have you experienced discrimination? Religion or belief (No).,
81,On what grounds have you experienced discrimination? Sex,
81,On what grounds have you experienced discrimination? Sex (No).,
82,On what grounds have you experienced discrimination? Sexual orientation,
82,On what grounds have you experienced discrimination? Sexual orientation (No).,
83,On what grounds have you experienced discrimination? Other,
83,On what grounds have you experienced discrimination? Other (No).,
84,"In the last 12 months, how many times have you been the target of unwanted behaviour of a sexual nature in the workplace from patients / service users, their relatives or other members of the public?",
84,"In the last 12 months, how many times have you been the target of unwanted behaviour of a sexual nature in the workplace from patients / service users, their relatives or other members of the public (Never).",
85,"In the last 12 months, how many times have you been the target of unwanted behaviour of a sexual nature in the workplace from staff / colleagues?",
85,"In the last 12 months, how many times have you been the target of unwanted behaviour of a sexual nature in the workplace from staff / colleagues (Never).",
86,"In the last month have you seen any errors, near misses, or incidents that could have hurt staff and/or patients/service users?",
86,"In the last month have you seen any errors, near misses, or incidents that could have hurt staff and/or patients/service users? (No)",
87,"My organisation treats staff who are involved in an error, near miss or incident fairly.",
87,"My organisation treats staff who are involved in an error, near miss or incident fairly (Agree/Strongly agree).",
88,"My organisation encourages us to report errors, near misses or incidents.",
88,"My organisation encourages us to report errors, near misses or incidents (Agree/Strongly agree).",
89,"When errors, near misses or incidents are reported, my organisation takes action to ensure that they do not happen again.",
89,"When errors, near misses or incidents are reported, my organisation takes action to ensure that they do not happen again (Agree/Strongly agree).",
90,"We are given feedback about changes made in response to reported errors, near misses and incidents.",
90,"We are given feedback about changes made in response to reported errors, near misses and incidents (Agree/Strongly agree).",
91,I would feel secure raising concerns about unsafe clinical practice.,
91,I would feel secure raising concerns about unsafe clinical practice (Agree/Strongly agree).,
92,I am confident that my organisation would address my concern.,
92,I am confident that my organisation would address my concern (Agree/Strongly agree).,
93,"I think that my organisation respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc).",
93,"I think that my organisation respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (Agree/Strongly agree).",
94,I can eat nutritious and affordable food while I am working.,
94,I can eat nutritious and affordable food while I am working (Often/Always).,
95,"In the last 12 months, have you had an appraisal, annual review, development review, or Knowledge and Skills Framework (KSF) development review?",
95,"In the last 12 months, have you had an appraisal, annual review, development review, or Knowledge and Skills Framework (KSF) development review (Yes).",
96,It helped me to improve how I do my job.,
96,"It helped me to improve how I do my job (Yes, definitely).",
97,It helped me agree clear objectives for my work.,
97,"It helped me agree clear objectives for my work (Yes, definitely).",
98,It left me feeling that my work is valued by my organisation.,
98,"It left me feeling that my work is valued by my organisation (Yes, definitely).",
99,This organisation offers me challenging work.,
99,This organisation offers me challenging work (Agree/Strongly agree).,
100,There are opportunities for me to develop my career in this organisation.,
100,There are opportunities for me to develop my career in this organisation (Agree/Strongly agree).,
101,I have opportunities to improve my knowledge and skills.,
101,I have opportunities to improve my knowledge and skills (Agree/Strongly agree).,
102,I feel supported to develop my potential.,
102,I feel supported to develop my potential (Agree/Strongly agree).,
103,I am able to access the right learning and development opportunities when I need to.,
103,I am able to access the right learning and development opportunities when I need to (Agree/Strongly agree).,
104,I am able to access clinical supervision opportunities when I need to.,
104,I am able to access clinical supervision opportunities when I need to (Agree/Strongly agree).,
105,Care of patients / service users is my organisation's top priority.,
105,Care of patients / service users is my organisation's top priority (Agree/Strongly agree).,
106,My organisation acts on concerns raised by patients / service users.,
106,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree).,
107,I would recommend my organisation as a place to work.,
107,I would recommend my organisation as a place to work (Agree/Strongly agree).,
108,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation.,
108,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree).,
109,I feel safe to speak up about anything that concerns me in this organisation.,
109,I feel safe to speak up about anything that concerns me in this organisation (Agree/Strongly agree).,
110,If I spoke up about something that concerned me I am confident my organisation would address my concern.,
110,If I spoke up about something that concerned me I am confident my organisation would address my concern (Agree/Strongly agree).,
111,I often think about leaving this organisation.,
111,I often think about leaving this organisation (Strongly disagree/Disagree).,
112,I will probably look for a job at a new organisation in the next 12 months.,
112,I will probably look for a job at a new organisation in the next 12 months (Strongly disagree/Disagree).,
113,"As soon as I can find another job, I will leave this organisation.",
113,"As soon as I can find another job, I will leave this organisation (Strongly disagree/Disagree).",
114,Has your employer made reasonable adjustment(s) to enable you to carry out your work?,
114,Has your employer made reasonable adjustment(s) to enable you to carry out your work (Yes).,
115,"To what extent do you agree that the Trust actively considers the environment, such as improving resource efficiency, reducing carbon emissions and reducing waste (Strongly agree).",
116,Are you satisfied with the Armed Forces specific support and guidance offered by the Trust (Strongly agree).,
115,"To what extent do you agree that the Trust actively considers the environment, such as improving resource efficiency, reducing carbon emissions and reducing waste?",
116,Are you satisfied with the Armed Forces specific support and guidance offered by the Trust?,
117,"Do you have face-to-face, video or telephone contact with patients / service users as part of your job?",1
118,How many hours a week are you contracted to work?,1
119,"If you are considering leaving your current job, what would be your most likely destination?",1
120,Which of the following best describes you?,1
121,Is your gender identity the same as the sex you were registered at birth?,1
122,Age:,1
123,What is your ethnic group?,1
124,Which of the following best describes how you think of yourself?,1
125,What is your religion? Are you...,1
126,Do you have any physical or mental health conditions or illnesses lasting or expected to last for 12 months or more?,1
127,"Do you have any children aged from 0 to 17 living at home with you, or who you have regular caring responsibility for?",1
128,"Do you look after, or give any help or support to family members, friends, neighbours or others because of either: long term physical or mental ill health / disability, or problems related to old age?",1
129,"When you were aged about 14, was the main or highest income earner in your household an employee, self-employed, or not working?",1
130,"When you were aged about 14, how many people worked for the main or highest income earner's employer?",1
131,"When you were aged about 14, how many people did the main or highest income earner employ?",1
132,"When you were aged about 14, did the main or highest income earner formally supervise any other employees?",1
133,"When you were aged about 14, what was the occupation of the main or highest income earner?",1
134,"Thinking about your current role, how often, if at all, do you work at/from home?",1
135,How many years have you worked for this organisation?,1
136,"When you joined this organisation, were you recruited from outside of the UK?",1
137,What is your occupational group?,1
138,What is your main transport into work? Car,1
139,What is your main transport into work? Car share,1
140,What is your main transport into work? Motorbike,1
141,What is your main transport into work? Train / DLR / Crossrail,1
142,What is your main transport into work? Bus,1
143,What is your main transport into work? Cycling,1
144,What is your main transport into work? Walking,1
145,"What is your main transport into work? Wheeling (adapted bike, wheelchair, mobility scooter or similar)",1
146,What is your main transport into work? Other,1
147,How often do you work from home?,1
148,How important is it for the Trust to take action on climate change?,1
149,How much do you feel able to impact sustainability within your team or service?,1
150,"Have you, or anyone in your immediate family, ever served in the UK Armed Forces?",1
151,Which of the following do you identify as?,1
152,Morale,1
153,Staff engagement,1
154,We are recognised and rewarded,1
155,Autonomy and control,1
156,Involvement,1
157,We are compassionate and inclusive,1
158,Burnout,1
159,Line management,1
160,Health and safety climate,1
161,Teamworking,1
162,Support for work-life balance,1
163,Compassionate leadership,1
164,Work pressure,1
165,Stressors,1
166,Development,1
167,We are a team,1
168,Thinking about leaving,1
169,Compassionate culture,1
170,Advocacy,1
171,Diversity and equality,1
172,Inclusion,1
173,Negative experiences,1
174,Flexible working,1
175,We work flexibly,1
176,Raising concerns,1
177,We are safe and healthy,1
178,We each have a voice that counts,1
179,Motivation,1
180,Appraisals,1
181,We are always learning,1
